,High cost,Low cost,Medium cost,Very high cost,accuracy,macro avg,weighted avg
precision,0.8061224489795918,0.9351851851851852,0.8837209302325582,0.9351851851851852,0.8925,0.8900534373956301,0.8937926378561761
recall,0.8586956521739131,0.9619047619047619,0.8351648351648352,0.9017857142857143,0.8925,0.8893877408823062,0.8925
f1-score,0.8315789473684211,0.9483568075117371,0.8587570621468927,0.9181818181818182,0.8925,0.8892186588022173,0.8926649605958952
support,92.0,105.0,91.0,112.0,0.8925,400.0,400.0
