,High cost,Low cost,Medium cost,Very high cost,accuracy,macro avg,weighted avg
precision,0.7727272727272727,0.9787234042553191,0.7714285714285715,0.8849557522123894,0.8525,0.8519587501558882,0.8579297769637632
recall,0.7391304347826086,0.8761904761904762,0.8901098901098901,0.8928571428571429,0.8525,0.8495719859850294,0.8525
f1-score,0.7555555555555555,0.9246231155778896,0.8265306122448981,0.8888888888888891,0.8525,0.848899543066808,0.853415948791577
support,92.0,105.0,91.0,112.0,0.8525,400.0,400.0
